Rapaport Trade Lot #,Stock #,Availability,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence Intensity,Fluorescence Color,Measurements,Eye Clean,Lab,Report #,RapLab Report ID,Treatment,Rapaport Trade Price,Rapaport Trade Discount %,Cash Price,Cash Price Discount %,BuyNow $/ct,BuyNow rap%,Depth %,Table %,Girdle Thin,Girdle Thick,Girdle %,Girdle Condition,Culet Size,Culet Condition,Crown Height,Crown Angle,Pavilion Depth,Pavilion Angle,Laser Inscription,Cert comment,Key to symbols,Member Comment,Star Length,Shade,White Inclusion,Black Inclusion,Open Inclusion,Milky,Fancy Color,Fancy Color Intensity,Fancy Color Overtone,Country,State,City,Brand,Seller Spec,Sarine Loupe,Report File Name,Report 2 File name,Website Link,Image 1,Image 2,Image 3,Image 4,Image 5,VideoURL 1,VideoURL 2,VideoURL 3,VideoURL 4,VideoURL 5,Document 1,Document 2,Document 3,Document 1 Type,Document 2 Type,Document 3 Type,Trade Show,Report Issue Date,Report Type,Lab Location,Pair Stock #,Is Matched Pair Separable,Allow RapLink Feed,Parcel Stones,Tracr ID,Display Cert Number
106835536,HJDDCU2056,G,Cushion Modified,0.7,,SI2,,EX,VG,F,,4.79x4.79x3.36,,GIA,2227686751,,,3000,,2950,,,,70.2,63,TK,VTK,,Faceted,N,Pointed,,,,,GIA 2227686751,,"Crystal,  Cavity,  Natural,  Extra Facet", 100% No BGM Nice Make. For more details Call/WhatApp +852-69731885 Vipul or WeChat DiamondRepublic. ,,Yellow,,None,,None,Yellow,Fancy,,Hong Kong,,Tsim Sha Tsui,,,,,,,,,,,,,,,,,,,,,,,,05/27/2016 00:00:00,Colored Diamond Grading Report,,,TRUE,1,,,1
107506384,HJDDOV2101,M,Oval,5.09,,SI2,,G,G,N,,12.37x9.63x5.46,,GIA,6204520120,,,6500,,5500,,,,56.7,68,M,XTK,,Faceted,N,Pointed,,,,,GIA 6204520120,Clouds are not shown. Patches of color are not shown.,"Etch Channel,  Feather,  Crystal,  Cavity,  Needle,  Indented Natural,  Knot", 100% No BGM Nice Make. Stone set in a Ring. For more details Call/WhatApp +852-69731885 Vipul or WeChat DiamondRepublic. ,,None,,,None,None,Yellow,Fancy Dark,Gray-Greenish,Hong Kong,,Tsim Sha Tsui,,,,,,,,,,,,,,,,,,,,,,,,08/16/2019 00:00:00,Colored Diamond Grading Report,USA,,TRUE,1,,,1
107573806,HJDDCU2102B,G,Cushion Modified,0.7,,VS2,,EX,VG,N,,5.25x4.61x3.19,,GIA,1339221346,,,8000,,7000,,,,69.1,59,TK,VTK,,Faceted,N,Pointed,,,,,GIA 1339221346,"Additional twinning wisps, pinpoints, surface graining and patches of color are not shown.","Twinning Wisp,  Needle,  Natural", 100% No BGM Nice Make. For more details Call/WhatApp +852-69731885 Vipul or WeChat DiamondRepublic. ,,None,,None,None,None,Yellow - Green,Fancy Light,,Hong Kong,,Tsim Sha Tsui,,,,,,,,,,,,,,,,,,,,,,,,9/5/2019 0:00,Colored Diamond Grading Report,USA,,TRUE,1,,,1
107655262,HJDDRD2013,G,Radiant,0.92,F,I1,,VG,G,F,,5.92x5.19x3.53,,GIA,5326532049,,,2032.5,-0.076,1977.5,-0.101,,,68,67,VTN,VTK,,,N,Pointed,,,,,GIA 5326532049,,"Feather,  Crystal", 100% No BGM Nice Make. For more details Call/WhatApp +852-69731885 Vipul or WeChat DiamondRepublic. ,,None,,None,,None,,,,Hong Kong,,Tsim Sha Tsui,,,,,,,,,,,,,,,,,,,,,,,,04/14/2019 00:00:00,Diamond Dossier,USA,,TRUE,1,,,1
108420844,HJDDCU3032,G,Cushion Modified,1.01,,SI2,,EX,VG,N,,5.62x5.43x3.64,,GIA,7338382405,,,15000,,12000,,,,67,57,XTK,XTK,,Faceted,N,Pointed,,,,,GIA 7338382405,"Clouds, additional pinpoints, internal graining and surface graining are not shown.","Feather,  Crystal,  Indented Natural,  Needle,  Pinpoint", 100% No BGM Nice Make. For more details Call/WhatApp +852-69731885 Vipul or WeChat DiamondRepublic. ,,Pink,,None,None,None,Brown - Pink,Fancy,,Hong Kong,,Tsim Sha Tsui,,,,,,,,,,,,,,,,,,,,,,,,8/12/2019 0:00,Colored Diamond Grading Report,India,,TRUE,1,,,1
109253532,HJDDOV2112,G,Oval,0.76,,VS2,,G,G,N,,7.14x4.88x3.31,,GIA,2337750097,,,6500,,5000,,,,67.8,59,TK,VTK,,Faceted,N,Pointed,,,,,GIA 2337750097,A manufacturing remnant is not shown.,"Feather,  Cavity,  Pinpoint,  Natural", 100% No BGM Nice Make. For more details Call/WhatApp +852-69731885 Vipul or WeChat DiamondRepublic. ,,Yellow,,None,None,None,Yellow,Fancy Intense,,Hong Kong,,Tsim Sha Tsui,,,,,,,,,,,,,,,,,,,,,,,,10/9/2019 0:00,Colored Diamond Grading Report,Hong Kong,,TRUE,1,,,1
109309005,HJDDMQ2118,G,Marquise,0.12,,,,,,,,4.73x2.62x1.78,,GIA,2203650003,,,8000,,7900,,,,,,,,,,,Pointed,,,,,GIA 2203650003,,,Nice Model. Eye Clean. Marquise Brilliant. Perfect Color. Call/Whats App: Vipul +852-69731885,,,,None,,None,Pink,Fancy Light,,Hong Kong,,Tsim Sha Tsui,,,,,,,,,,,,,,,,,,,,,,,,10/17/2019 00:00:00,Colored Diamond Identification and Origin Report,Hong Kong,,TRUE,1,,,1
109371144,HJDDMQ2132,G,Marquise,0.18,,VVS2,,VG,G,N,,5.43x3.02x1.91,,GIA,1206624727,,,160000,,157000,,,,63.4,58,,,,Faceted,N,Pointed,,,,,GIA 1206624727,Additional pinpoints are not shown.,"Pinpoint,  Needle,  Chip", 100% No BGM Nice Make. For more details Call/WhatApp +852-69731885 Vipul or WeChat DiamondRepublic. ,,None,,None,,None,Blue,Fancy Intense,,Hong Kong,,Tsim Sha Tsui,,,,,,,,,,,,,,,,,,,,,,,,10/11/2019 0:00,Colored Diamond Grading Report,USA,,TRUE,1,,,1
109699059,HJDDMQ2051,G,Marquise,0.19,,VS2,,VG,G,S,W,5.51x3.19x1.95,,GIA,6204170188,,,5500,,5300,,,,61,64,M,VTK,,Faceted,N,Pointed,,,,,GIA 6204170188,"The color of this stone changes temporarily when gently heated, or when left in darkness for a period of time and is known in the trade as ""CHAMELEON"".","Crystal,  Feather,  Pinpoint,  Natural,  Extra Facet", 100% No BGM Nice Make. For more details Call/WhatApp +852-69731885 Vipul or WeChat DiamondRepublic. ,,Green,,,,None,Green - Chameleon,Fancy,Grayish Yellowish,Hong Kong,,Tsim Sha Tsui,,,,,,,,,,,,,,,,,,,,,,,,4/10/2019 0:00,Colored Diamond Grading Report,USA,,TRUE,1,,,1
109943341,HJDDPS2127,G,Rose,0.85,D,VVS2,,G,G,S,B,9.68x6.11x2.16,,GIA,2337750111,,,5141,0.389,4982,0.346,,,,,TN,TK,,Faceted,,Pointed,,,,,GIA 2337750111,,"Cavity,  Feather", 100% No BGM Nice Make. For more details Call/WhatApp +852-69731885 Vipul or WeChat DiamondRepublic. ,,None,,None,,None,,,,Hong Kong,,Tsim Sha Tsui,,,,,,,,,,,,,,,,,,,,,,,,09/30/2019 00:00:00,Diamond Dossier,HK,,TRUE,1,,,1
